     10   13   24   34           120.00       0.00
     10   13   25   34            90.00       0.00
     10   13   27   34           120.00       0.00
     10   14   24   34           120.00       0.00
     10   14   25   34            90.00       0.00
     10   14   27   34           120.00       0.00
     10   15   24   34           120.00       0.00
     10   15   25   34            90.00       0.00
     10   15   27   34           120.00       0.00
     10   16   24   34           120.00       0.00
     10   16   25   34            90.00       0.00
     10   16   27   34           120.00       0.00
     10   33   33   33            40.00       0.00
     12   14   25   34            90.00       0.00
     12   36   13   36            96.00       0.00
     12   36   14   36            96.00       0.00
     19   19   29    8             1.00       0.00
     19   19   30    8             1.00       0.00
     20   30   29    6             1.00       0.00
     24   10   13    3            20.00       0.00
     24   10   14    3            20.00       0.00
     24   10   15    3            20.00       0.00
     25   10    3    3             8.00       0.00
     25   12    3    3             8.00       0.00
     27   10   16   18             0.00       0.00
     29   20   19    3             0.90       0.00
     31   20   19    3             2.40       0.00
